index,count,title,brand,Rating,Panel,community,avgscore,NOM,Previous NOM,Agave_Region,Region,Cooking,Extraction,Water_Source,Fermentation,Distillation,Still,Aging,ABVorProof,Other,aromas1c,aromas1t,aromas2c,aromas2t,aromas3c,aromas3t,aromas4c,aromas4t,aromas5c,aromas5t,aromas6c,aromas6t,aromas7c,aromas7t,aromas8c,aromas8t,aromas9c,aromas9t,aromas10c,aromas10t,aromas11c,aromas11t,aromas12c,aromas12t,flavors1c,flavors1t,flavors2c,flavors2t,flavors3c,flavors3t,flavors4c,flavors4t,flavors5c,flavors5t,flavors6c,flavors6t,flavors7c,flavors7t,flavors8c,flavors8t,flavors9c,flavors9t,flavors10c,flavors10t,flavors11c,flavors11t,flavors12c,flavors12t
3320,1,Tristan Tequila Blanco,Tristan,2,,61,30.5,1360,(Previously:1571),-,Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3321,1,Tristan Tequila Reposado,Tristan,1,,75,37.5,1360,(Previously:1571),-,Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3322,1,Tristan Tequila Añejo,Tristan,0,,,0,1360,(Previously:1571),-,Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3323,1,Tristan Tequila Extra Añejo,Tristan,3,73,67,70,1360,,-,Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3324,1,Trompeta Mexicana Reposado,Trompeta Mexicana,2,79,85,82,1464,,-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Column,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3325,1,Trovador Gold,Trovador,0,,,0,1472,,-,Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,-,Mixto Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3330,1,TUYO No. 1,Tuyo,2,,38,19,1438,,Jalisco (Los Altos) Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens Autoclave (high pressure),Roller Mill,Deep well water,Stainless steel tanks 100% agave Fermentation without fibers,2x distilled,Stainless Steel Pot,Bourbon barrels,40% abv (80-proof),Color Filtration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3331,1,TUYO No. 2,Tuyo,5,78,81,79.5,1438,,Jalisco (Los Altos) Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens Autoclave (high pressure),Roller Mill,Deep well water,Stainless steel tanks 100% agave Fermentation without fibers,2x distilled,Stainless Steel Pot,Bourbon barrels,40% abv (80-proof),Color Filtration,2,Flowers,1,Alcohol,1,Minerals,1,Butter,1,Agave (cooked),1,Apple (green),,,,,,,,,,,,,3,Agave (cooked),2,Flowers,2,Alcohol,1,Citrus,1,Vanilla,1,Cinnamon,1,Pepper (black),1,Apple (green),,,,,,,,
3332,1,TUYO No. 3,Tuyo,0,,,0,1438,,Jalisco (Los Altos) Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens Autoclave (high pressure),Roller Mill,Deep well water,Stainless steel tanks 100% agave Fermentation without fibers,2x distilled,Stainless Steel Pot,Bourbon barrels,40% abv (80-proof),Color Filtration,1,Agave (cooked),,,,,,,,,,,,,,,,,,,,,,,1,Oak,,,,,,,,,,,,,,,,,,,,,,
3333,1,TUYO No. 4,Tuyo,1,,81,40.5,1438,,Jalisco (Los Altos) Jalisco (Tequila Valley),Jalisco (Los Valles),Stone/Brick Ovens Autoclave (high pressure),Roller Mill,Deep well water,Stainless steel tanks 100% agave Fermentation without fibers,2x distilled,Stainless Steel Pot,Bourbon barrels,40% abv (80-proof),Color Filtration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3341,1,Un Grito de Sabor Blanco,Un Grito de Sabor,6,,84,42,1439,,-,Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,-,38% abv (76 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3342,1,Un Grito de Sabor Reposado,Un Grito de Sabor,2,,87,43.5,1439,,-,Jalisco (Los Valles),Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,American White Oak barrels,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3343,1,Una Vida Blanco,Una Vida,18,81,87,84,1424,(Previously:1110 1585),-,Jalisco (Los Valles),Stone/Brick Ovens,Roller Mill,Deep well water,Stainless steel tanks 100% agave,2x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),-,2,Agave (cooked),2,Mint,2,Alcohol,1,Butter,1,Peppermint,1,Flowers,1,Anise,1,Pepper (black),1,Bell Pepper,,,,,,,2,Agave (cooked),1,Vegetal,1,Peppermint,1,Anise,1,Alcohol,1,Pepper (black),1,Mint,1,Bell Pepper,,,,,,,,
