index,count,title,brand,Rating,Panel,community,avgscore,NOM,Previous NOM,Agave_Region,Region,Cooking,Extraction,Water_Source,Fermentation,Distillation,Still,Aging,ABVorProof,Other,aromas1c,aromas1t,aromas2c,aromas2t,aromas3c,aromas3t,aromas4c,aromas4t,aromas5c,aromas5t,aromas6c,aromas6t,aromas7c,aromas7t,aromas8c,aromas8t,aromas9c,aromas9t,aromas10c,aromas10t,aromas11c,aromas11t,aromas12c,aromas12t,flavors1c,flavors1t,flavors2c,flavors2t,flavors3c,flavors3t,flavors4c,flavors4t,flavors5c,flavors5t,flavors6c,flavors6t,flavors7c,flavors7t,flavors8c,flavors8t,flavors9c,flavors9t,flavors10c,flavors10t,flavors11c,flavors11t,flavors12c,flavors12t
32,1,Ayate Reposado,Ayate,37,80,83,81.5,1519,,Jalisco (Los Altos),Guanajuato,Autoclave (high pressure),Roller Mill,Natural spring water,Stainless steel tanks 100% agave,2x distilled,Copper Pot,American White Oak barrels Wine casks New barrels Used barrels,40% abv (80-proof),-,3,Alcohol,2,Fruity,2,Vanilla,1,Caramel,1,Cedar,1,Pine Tree,1,Orange Peel,1,Lemongrass,1,Rose,1,Jasmine,1,Honey,1,Smoke,2,Alcohol,2,Vanilla,2,Agave (cooked),1,Baking Spice,1,Pepper (black),1,Cedar,1,Pine Tree,1,Oak,1,Pineapple,1,Orange Peel,1,Black Tea,1,Hay
33,1,Ayate Añejo,Ayate,49,80,83,81.5,1519,,Jalisco (Los Altos),Guanajuato,Autoclave (high pressure),Roller Mill,Natural spring water,Stainless steel tanks 100% agave,2x distilled,Copper Pot,American White Oak barrels Wine casks New barrels Used barrels French Oak barrels,40% abv (80-proof),-,7,Oak,4,Agave (cooked),3,Butterscotch,3,Dried Fruit,3,Whiskey,3,Fruity,3,Vanilla,2,Caramel,2,Baking Spice,2,Cinnamon,2,Alcohol,1,Nutmeg,7,Oak,4,Agave (cooked),4,Fruity,4,Vanilla,3,Butterscotch,3,Caramel,3,Dried Fruit,3,Whiskey,3,Alcohol,1,Nutmeg,1,Baking Spice,1,Cinnamon
185,1,Caballero Aguila Reposado,Caballero Aguila,1,,45,22.5,1368,,-,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,1,Capa y Espada Tequila Reposado,Capa y Espada,1,,71,35.5,1368,,-,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,1,Corralejo Reposado,Corralejo,958,67,75,71,1368,,Guanajuato,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof) 35-39% abv (70-78 proof),-,32,Agave (cooked),20,Alcohol,15,Pepper (black),15,Caramel,13,Smoke,10,Oak,10,Vanilla,8,Butter,7,Earth,6,Honey,5,Plastic,5,Citrus,32,Agave (cooked),25,Pepper (black),17,Alcohol,16,Oak,15,Smoke,14,Caramel,12,Vanilla,8,Earth,7,Butter,7,Citrus,5,Honey,5,Astringent
729,1,Corralejo Blanco,Corralejo,269,66,70,68,1368,,Guanajuato,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof) 40% abv (80-proof),-,14,Alcohol,8,Agave (raw),8,Pepper (black),7,Citrus,6,Agave (cooked),5,Flowers,4,Vegetal,3,Grass,3,Mint,3,Lime,2,Apple (green),2,Astringent,14,Alcohol,11,Pepper (black),8,Agave (cooked),7,Agave (raw),6,Citrus,4,Tropical Fruits,4,Vegetal,4,Mint,3,Pineapple,3,Earth,3,White Pepper,2,Grass
730,1,Corralejo Añejo,Corralejo,310,67,75,71,1368,,-,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof) 40% abv (80-proof),-,15,Vanilla,13,Oak,12,Agave (cooked),8,Caramel,8,Alcohol,5,Pepper (black),4,Citrus,4,Cinnamon,4,Smoke,3,Cherry,2,Cider,2,Cocoa,14,Vanilla,11,Alcohol,11,Oak,10,Agave (cooked),9,Caramel,5,Pepper (black),5,Cinnamon,4,Citrus,4,Cherry,4,Smoke,3,Whiskey,2,Vegetal
732,1,"Corralejo 99,000 Horas",Corralejo,183,75,81,78,1368,,-,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof) 40% abv (80-proof),-,10,Agave (cooked),6,Oak,6,Vanilla,5,Caramel,4,Butterscotch,3,Cinnamon,3,Nuts,2,Grass,2,Dried Fruit,2,Whiskey,1,Wet Cement,1,Rubber,10,Vanilla,9,Oak,7,Agave (cooked),6,Cinnamon,6,Caramel,3,Butterscotch,3,Medicinal,2,Pepper (black),2,Nuts,2,Whiskey,2,Almond,2,Citrus
733,1,Gran Corralejo,Corralejo,96,77,79,78,1368,,Guanajuato,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof) 40% abv (80-proof),-,2,Agave (cooked),2,Butterscotch,2,Oak,2,Barrel Spice,2,Honey,1,Clove,1,Fruity,1,Baking Spice,1,Vanilla,1,Pepper (black),1,Cinnamon,1,Nuts,3,Agave (cooked),3,Barrel Spice,3,Honey,2,Butterscotch,2,Vanilla,2,Pepper (black),2,Oak,2,Nuts,2,Caramel,1,Clove,1,Fruity,1,Baking Spice
734,1,Corralejo 1821 Extra Añejo,Corralejo,60,81,82,81.5,1368,,-,Guanajuato,Stone/Brick Ovens,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Copper Pot,American White Oak barrels,40% abv (80-proof),-,5,Oak,5,Vanilla,4,Caramel,3,Cinnamon,2,Agave (raw),2,Citrus,2,Orange Peel,2,Butterscotch,1,Butter,1,Earth,1,Dried Fruit,1,Hay,5,Pepper (black),5,Vanilla,5,Oak,4,Agave (cooked),4,Caramel,2,Citrus,2,Clove,2,Nutmeg,2,Cinnamon,2,Butterscotch,1,Earth,1,Grass
736,1,Corralejo Extra Añejo,Corralejo,32,76,79,77.5,1368,,Guanajuato,Guanajuato,Stone/Brick Ovens,Roller Mill,Deep well water,Stainless steel tanks 100% agave Fermentation without fibers,2x distilled,Copper Pot,American White Oak barrels,40% abv (80-proof),-,2,Butterscotch,1,Caramel,1,Pepper (black),1,Alcohol,1,Agave (cooked),1,Oak,,,,,,,,,,,,,2,Agave (cooked),2,Pepper (black),1,Cherry,1,Alcohol,1,Oak,,,,,,,,,,,,,,
828,1,DeLeon 51 Extra Anejo,Deleón,4,73,84,78.5,1519,,-,Guanajuato,Stone/Brick Ovens,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Copper Pot,-,51% abv (102-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,1,DesMaDre Blanco Tequila,DesMaDre,29,80,83,81.5,1519,,Jalisco (Los Altos),Guanajuato,Autoclave (high pressure),Roller Mill,Deep well water,Stainless steel tanks 100% agave,2x distilled,Stainless Pot w/Copper Coil,-,40% abv (80-proof),-,3,Agave (cooked),2,Citrus,2,Agave (raw),2,White Pepper,2,Pepper (black),2,Earth,1,Cinnamon,1,Acetone,1,Solvent,1,Metallic,1,Fruity,1,Grass,3,Pepper (black),2,Agave (raw),2,Agave (cooked),2,Metallic,1,Cinnamon,1,Citrus,1,White Pepper,1,Solvent,1,Brine/Salt,1,Musty,1,Orange Peel,1,Lime
838,1,DesMaDre Reposado Tequila,DesMaDre,15,87,85,86,1519,,Jalisco (Los Altos),Guanajuato,Autoclave (high pressure),Roller Mill,Deep well water,Stainless steel tanks 100% agave,2x distilled,Stainless Pot w/Copper Coil,Used barrels Bourbon barrels,40% abv (80-proof),-,4,Vanilla,3,Alcohol,2,Melon,1,Agave (cooked),1,Oak,1,Barrel Spice,1,Cinnamon,,,,,,,,,,,4,Vanilla,2,Agave (cooked),2,Oak,2,Caramel,1,Barrel Spice,1,Toffee,1,Alcohol,1,Cinnamon,1,Pepper (black),,,,,,
839,1,DesMaDre Añejo Tequila,DesMaDre,15,80,83,81.5,1519,,Jalisco (Los Altos),Guanajuato,Autoclave (high pressure),Roller Mill,Deep well water,Stainless steel tanks 100% agave,2x distilled,Stainless Pot w/Copper Coil,French Oak barrels Used barrels Bourbon barrels,40% abv (80-proof),-,2,Whiskey,2,Raisin,2,Agave (cooked),1,Caramel,1,Chocolate,1,Oak,1,Butterscotch,,,,,,,,,,,4,Whiskey,2,Oak,1,Raisin,1,Agave (cooked),,,,,,,,,,,,,,,,
1341,1,El Diezmo Blanco,El Diezmo,3,84,90,87,1368,,-,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1342,1,El Diezmo Reposado,El Diezmo,1,,66,33,1368,,-,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586,1,Los Arango Reposado,Los Arango,129,70,77,73.5,1368,,Guanajuato,Guanajuato,Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof) 40% abv (80-proof),Kosher,12,Agave (cooked),5,Pepper (black),4,Caramel,3,Alcohol,2,Citrus,2,White Pepper,2,Jalapeño,2,Fruity,2,Agave (raw),2,Oak,2,Vegetal,1,Soap,11,Agave (cooked),6,White Pepper,5,Pepper (black),4,Alcohol,3,Citrus,3,Oak,2,Jalapeño,2,Caramel,2,Fruity,2,Grass,2,Cherry,1,Acetone
1587,1,Los Arango Añejo,Los Arango,21,75,76,75.5,1368,,Guanajuato,Guanajuato,Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof) 40% abv (80-proof),Kosher,1,Peach,1,Earth,1,Minerals,1,Petrol,1,Orange,1,Vanilla,1,Oak,1,Nuts,1,Anise,1,Caramel,1,Orange Peel,1,Honey,2,Pepper (black),2,Oak,2,Agave (cooked),2,Caramel,2,Vanilla,1,Earth,1,Nutmeg,1,Alcohol,1,Cinnamon,1,Brine/Salt,1,Orange,1,Nuts
1588,1,Los Arango Blanco,Los Arango,27,75,78,76.5,1368,,Guanajuato,Guanajuato,Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),Kosher,3,Earth,2,Varnish,2,Smoke,2,Vegetal,2,Mint,2,Citrus,1,Chocolate,1,Jalapeño,1,Resin,1,Solvent,1,Pepper (black),1,Herbal,3,Mint,2,Herbal,1,Chocolate,1,Smoke,1,White Pepper,1,Earth,1,Pepper (black),1,Citrus,1,Vegetal,,,,,,
2173,1,Pénjamo Reposado,Penjamo,1,80,,40,1368,,-,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2283,1,Toltech Tequila Blanco,Quetzalcoatl Toltech,1,,83,41.5,1368,,-,Guanajuato,Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Copper Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2295,1,Quita Penas Tequila Blanco,Quita Penas,9,77,86,81.5,1368,,-,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof) 40% abv (80-proof),-,1,Celery,1,Agave (cooked),1,Vegetal,,,,,,,,,,,,,,,,,,,1,Agave (cooked),1,Pepper (black),1,Smoke,,,,,,,,,,,,,,,,,,
2296,1,Quita Penas Tequila Reposado,Quita Penas,34,83,86,84.5,1368,,-,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof) 40% abv (80-proof),-,5,Agave (cooked),5,Oak,2,Earth,1,Fruity,1,Citrus,1,Smoke,1,Lime,1,Raisin,1,Allspice,1,Caramel,,,,,4,Agave (cooked),4,Oak,2,Pepper (black),2,Caramel,1,Lime,1,Nuts,1,Walnut,1,White Pepper,1,Hazelnut,1,Barrel Spice,1,Allspice,1,Cream Soda
2297,1,Quita Penas Tequila Añejo,Quita Penas,1,,86,43,1368,,-,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof) 40% abv (80-proof),-,1,Orange Peel,1,Honey,1,Maple,,,,,,,,,,,,,,,,,,,1,Orange Peel,1,Honey,1,Maple,,,,,,,,,,,,,,,,,,
2340,1,Real de Pénjamo Blanco,Real de Penjamo,9,84,87,85.5,1434,,-,Guanajuato,Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2341,1,Real de Pénjamo Reposado,Real de Penjamo,15,83,74,78.5,1434,,-,Guanajuato,Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,2,Earth,2,Anise,2,Oak,1,Pepper (black),1,Vanilla,1,Agave (cooked),1,Barrel Spice,,,,,,,,,,,1,Anise,1,Pepper (black),1,Agave (cooked),1,Oak,1,Barrel Spice,,,,,,,,,,,,,,
2342,1,Real de Pénjamo Añejo,Real de Penjamo,7,67,81,74,1434,,-,Guanajuato,Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,1,Agave (cooked),1,Orange,1,Orange Blossom,1,Yeast/Dough,1,Toasted Bread,,,,,,,,,,,,,,,1,Orange,1,Orange Blossom,1,Yeast/Dough,1,Toasted Bread,,,,,,,,,,,,,,,,
2344,1,Real de Pénjamo Artesanal Añejo (Skull Bottle),Real de Penjamo,1,,88,44,1434,,-,Guanajuato,Stone/Brick Ovens,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,Stainless Steel Pot,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2345,1,Real de Penjamo Añejo (Basica),Real de Penjamo,1,,86,43,1434,,-,Guanajuato,-,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,-,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2346,1,Real de Penjamo Añejo (Luna),Real de Penjamo,1,,89,44.5,1434,,-,Guanajuato,-,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,-,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2347,1,Real de Penjamo Añejo (Catrina),Real de Penjamo,5,,94,47,1434,,-,Guanajuato,-,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,-,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2348,1,Real de Penjamo Extra Añejo (Catrina),Real de Penjamo,2,,91,45.5,1434,,-,Guanajuato,-,Roller Mill,-,Stainless steel tanks 100% agave,2x distilled,-,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2396,1,Reserva de Mexico Reposado,Reserva de Mexico,12,79,87,83,1519,,-,Guanajuato,Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,2,Oak,2,Vanilla,2,Agave (cooked),1,Cream Soda,1,Citrus,1,Pepper (black),1,Leather,1,Alcohol,,,,,,,,,3,Agave (cooked),3,Pepper (black),2,Cinnamon,2,Vanilla,2,Alcohol,1,Barrel Spice,1,Leather,,,,,,,,,,
2397,1,Reserva de Mexico Añejo,Reserva de Mexico,9,80,78,79,1519,,-,Guanajuato,Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,2,Vanilla,1,Oak,1,Cream Soda,1,Agave (cooked),1,Allspice,,,,,,,,,,,,,,,2,Agave (cooked),2,Vanilla,1,Caramel,1,Cinnamon,,,,,,,,,,,,,,,,
2398,1,Reserva de Mexico Blanco,Reserva de Mexico,6,84,89,86.5,1519,,-,Guanajuato,Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,1,Orange,1,Lemon,1,Citrus,,,,,,,,,,,,,,,,,,,1,Citrus,1,Pepper (black),,,,,,,,,,,,,,,,,,,,
3523,1,La Cucaracha Reposado,La Cucaracha,0,,,0,1368,,-,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,35-39% abv (70-78 proof) 40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7101,1,Aranza Tequila Gold,Aranza,0,,,0,1434,,-,Guanajuato,Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32941,1,Tequila Huani 1875 Blanco,Huani 1875,5,,66,33,1593,,Guanajuato,Guanajuato,Autoclave (high pressure),Roller Mill,Deep well water,Stainless steel tanks 100% agave Fermentation without fibers,2x distilled,Stainless Pot w/Copper Coil,-,38% abv (76 proof),-,1,Herbal,,,,,,,,,,,,,,,,,,,,,,,1,Fruity,,,,,,,,,,,,,,,,,,,,,,
32951,1,Tequila Huani 1875 Reposado,Huani 1875,0,,,0,1593,,Guanajuato,Guanajuato,Autoclave (high pressure),Roller Mill,Deep well water,Stainless steel tanks 100% agave Fermentation without fibers,2x distilled,Stainless Pot w/Copper Coil,American White Oak barrels Used barrels Bourbon barrels,38% abv (76 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32961,1,Tequila Huani 1875 Añejo,Huani 1875,0,,,0,1593,,Guanajuato,Guanajuato,Autoclave (high pressure),Roller Mill,Deep well water,Stainless steel tanks 100% agave Fermentation without fibers,2x distilled,Stainless Pot w/Copper Coil,American White Oak barrels Used barrels Bourbon barrels,38% abv (76 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,1,Corralejo Reposado Triple Distilled,Corralejo,118,66,72,69,1368,,-,Guanajuato,Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,3x distilled,Copper Pot,-,35-39% abv (70-78 proof) 40% abv (80-proof),-,7,Agave (cooked),5,Acetone,5,Medicinal,4,Pepper (black),3,Butter,3,Oak,3,Caramel,3,Vanilla,3,Alcohol,2,Solvent,2,Varnish,2,Nutmeg,5,Agave (cooked),4,Medicinal,4,Vanilla,3,Acetone,3,Caramel,3,Oak,2,Varnish,2,Nutmeg,2,Almond,2,Alcohol,2,Butter,2,Pepper (black)
735,1,Corralejo Blanco Triple Destilado,Corralejo,11,77,87,82,1368,,Guanajuato,Guanajuato,Autoclave (high pressure),Roller Mill,-,Stainless steel tanks 100% agave,3x distilled,Copper Pot,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2343,1,Real de Pénjamo Extra Añejo,Real de Penjamo,8,80,87,83.5,1434,,-,Guanajuato,-,-,-,100% agave,,-,-,-,-,2,Oak,2,Caramel,2,Vanilla,2,Honey,1,Pepper (black),1,Anise,1,Agave (cooked),1,Butter,1,Pineapple,1,Coconut,1,Citrus,1,Orange Blossom,1,Pepper (black),1,Anise,1,Vanilla,1,Chocolate,1,Agave (cooked),1,Butter,1,Caramel,1,Cinnamon,1,Oak,1,White Pepper,1,Hazelnut,1,Whiskey
34,1,Tequila Azabache Oro,Azabache,0,,,0,1442,,-,Jalisco (Central),-,Roller Mill,-,Stainless steel tanks Mixto,2x distilled,-,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,Azteca Gold,Azteca,0,,,0,1173,,-,Jalisco (Central),Autoclave (high pressure),Roller Mill,-,Mixto Stainless steel tanks,2x distilled,Stainless Steel Pot,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,Azteca Blanco,Azteca,0,,,0,1173,,-,Jalisco (Central),Autoclave (high pressure),Roller Mill,-,Mixto Stainless steel tanks,2x distilled,Stainless Steel Pot,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1,Bajo Cero Silver,Bajo Cero,0,,,0,1431,,-,Jalisco (Central),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,Bajo Cero Añejo,Bajo Cero,1,,88,44,1431,,-,Jalisco (Central),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1,Bajo Cero Gold,Bajo Cero,0,,,0,1431,,-,Jalisco (Central),Autoclave (high pressure),Roller Mill,-,Mixto Stainless steel tanks,2x distilled,Stainless Steel Pot,-,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1,BooYa Silver,Booya,1,,81,40.5,1482,,-,Jalisco (Central),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1,BooYa Reposado,Booya,1,,77,38.5,1482,,-,Jalisco (Central),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,2,Vanilla,2,Agave (cooked),2,Butter,,,,,,,,,,,,,,,,,,,2,Vanilla,2,Agave (cooked),,,,,,,,,,,,,,,,,,,,
146,1,BooYa Añejo,Booya,1,72,34,53,1482,,-,Jalisco (Central),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1,BooYa Silver Mint Tequila,Booya,0,,,0,1482,,-,Jalisco (Central),Stone/Brick Ovens,Roller Mill,-,Mixto Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),Flavored Tequila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1,BooYa Acai Berry Tequila,Booya,0,,,0,1482,,-,Jalisco (Central),Stone/Brick Ovens,Roller Mill,-,Mixto Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),Flavored Tequila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1,BooYa Espresso Tequila,Booya,0,,,0,1482,,-,Jalisco (Central),Stone/Brick Ovens,Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Copper Pot,-,40% abv (80-proof),Flavored Tequila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1,Botella Del Sol Tequila Blanco,Botella Del Sol,1,,89,44.5,1413,,-,Jalisco (Central),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1,Botella Del Sol Tequila Reposado,Botella Del Sol,1,,92,46,1413,,-,Jalisco (Central),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,1,Botella Del Sol Tequila Anejo,Botella Del Sol,1,,97,48.5,1413,,-,Jalisco (Central),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,1,Buen Amigo Reposado 100%,Buen Amigo,14,39,68,53.5,1417,,-,Jalisco (Central),-,-,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,1,Earth,1,Jalapeño,,,,,,,,,,,,,,,,,,,,,2,Agave (cooked),1,Peach,1,Oak,1,Whiskey,1,Pepper (black),1,Smoke,1,Mint,,,,,,,,,,
171,1,Buen Amigo Blanco,Buen Amigo,0,,53,26.5,1417,,-,Jalisco (Central),Autoclave (high pressure),Roller Mill,-,Mixto Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,1,Buen Amigo Oro,Buen Amigo,0,,,0,1417,,-,Jalisco (Central),-,Roller Mill,-,Mixto Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,1,Cajititlan Tequila Reposado,Cajititlan,0,,,0,1431,,-,Jalisco (Central),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,1,Cajititlan Tequila Añejo,Cajititlan,0,,,0,1431,,-,Jalisco (Central),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,American White Oak barrels Used barrels,35-39% abv (70-78 proof),-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,1,Calera Tequila Reposado,Calera,6,78,64,71,1431,,-,Jalisco (Central),Autoclave (high pressure),Roller Mill,-,100% agave Stainless steel tanks,2x distilled,Stainless Steel Pot,-,40% abv (80-proof),-,1,Oak,1,Barrel Spice,,,,,,,,,,,,,,,,,,,,,1,Agave (cooked),,,,,,,,,,,,,,,,,,,,,,
