name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Tequila, Mexico",2021-05-03,90.2,50.3,69.1,86.4,50.3,68.1,21.1,21.5,0,0,0,,,,,23,247.8,1013.9,11.6,8.6,315.6,27.4,10,,2021-05-03T07:23:38,2021-05-03T20:21:03,0.75,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,F0752,remote,F6804"
"Tequila, Mexico",2021-05-04,90.9,52.2,70.6,86.9,52.2,69.5,25.4,24.6,0,0,0,,,,,11.4,253.9,1012.5,7.9,8.2,349.4,30.1,10,,2021-05-04T07:23:04,2021-05-04T20:21:26,0.76,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2021-05-05,93.5,54.1,73.2,88.9,54.1,71.8,36.2,32.9,0,0,0,,,,,8.1,199.7,1012.1,0,7.7,324.8,28.3,10,,2021-05-05T07:22:30,2021-05-05T20:21:50,0.79,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,F0752,remote,F6804"
"Tequila, Mexico",2021-05-06,92,60.3,75,88,60.3,74,45.3,38,0.048,100,25,rain,,,,16.1,86.3,1017.1,28.1,7.2,252.6,21.7,9,,2021-05-06T07:21:57,2021-05-06T20:22:14,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MMGL,76613399999,F0749,76612099999,F0752,F6811,remote,F6804"
"Tequila, Mexico",2021-05-07,92.7,60.7,76.7,88.8,60.7,75.5,48.9,42.5,0.012,100,8.33,rain,,,,11.9,98,1012.5,34.6,8.2,329.3,28.3,10,,2021-05-07T07:21:25,2021-05-07T20:22:38,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2021-05-08,90.6,64.1,75.7,87.5,64.1,75,52.4,47.4,0,0,0,,,,20.1,16.1,269.2,1014,61.3,6.5,275.4,23.7,9,,2021-05-08T07:20:54,2021-05-08T20:23:03,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2021-05-09,88.2,62.7,73.7,85.1,62.7,73.1,52.3,51.1,0.008,100,8.33,rain,,,,13.4,273.2,1014.8,86.6,6.4,198.1,17.1,8,,2021-05-09T07:20:24,2021-05-09T20:23:27,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2021-05-10,88.1,63.8,72.6,85.4,63.8,72.2,55.2,57.7,0.039,100,4.17,rain,,,,13.9,270.6,1015.1,94.7,6.6,197.4,16.9,9,,2021-05-10T07:19:55,2021-05-10T20:23:52,0.96,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2021-05-11,86,59.1,72.3,83.7,59.1,71.9,54.5,58.1,0.004,100,4.17,rain,,,22.4,16.1,258.8,1014.9,67.1,6.3,260.9,22.5,10,,2021-05-11T07:19:27,2021-05-11T20:24:17,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2021-05-12,89.5,63.8,76.1,86.9,63.8,75.2,54.5,51.6,0.064,100,29.17,rain,,,,9.2,272.4,1013.4,82.2,7.6,262.7,22.8,9,,2021-05-12T07:19:00,2021-05-12T20:24:42,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MMGL,76613399999,76612099999,remote,F6804"
